"挙動ID","表示名","使用欄","分類","起動条件","基本処理","既定間隔秒","既定発射物ID","敵側対象","捕獲後対象","敵側既定効果","捕獲後既定効果","関連特殊タグ","敵側向き制御","捕獲後向き制御","移動制御","重複ルール","実装状態","備考","","","","","","",""
"contact_basic","基本接触","敵挙動ID","近接","接触時","プレイヤーへ接触ダメージを与える基本挙動。ダメージ量はEnemiesタブの接触攻撃力と接触ダメージ種別を使う","0","none","player","none","none","none","contact_damage","none","none","none","重複不可","未実装","最も基本的な近接敵用","","","","","","",""
"jump_attack","跳ね攻撃","敵挙動ID","近接","一定間隔","一定間隔で小さく跳ね、着地点周辺で接触判定を強める","2","none","player","none","none","none","small","none","none","jump","重複不可","未実装","化けキノコ用。移動AIはjump_chase側で補助","","","","","","",""
"front_guard","前方ガード","敵挙動ID","防御","常時","敵の正面方向から来る攻撃を軽減または無効化する","0","none","projectile,ring_item","none","none","none","shield,guard_contact","front","none","none","重複不可","未実装","盾カブトの敵時挙動。捕獲後の外側ガードとは別","","","","","","",""
"magnet_disturb","磁力妨害","敵挙動ID","妨害","常時","周囲のmetalタグを持つ対象に弱い吸引または軌道乱れを発生させる","0","none","metal","none","none","none","metal","none","none","none","強い方を優先","未実装","プレイヤーの金属アイテムを少し乱す敵時挙動","","","","","","",""
"shoot_web","糸発射","両方","遠距離・妨害","一定間隔","糸の発射物を撃つ。敵が使う場合はプレイヤー、捕獲後は敵を対象にする","2.5","web_thread","player","enemy","player:status_slow:0.6:2.5","enemy:status_slow:0.6:2.5","none","target_player","outward","none","重複時は発射数を増やさず効果時間のみ最大値","未実装","からまりクモ用。糸に当たると確定鈍足","","","","","","",""
"physical_resist","物理耐性","敵挙動ID","耐性","被弾時","物理ダメージを軽減し、魔法系ダメージには弱くする","0","none","ring_item","none","none","none","stone,heavy","none","none","none","重複不可","未実装","鉱石ガニ用。耐性倍率は実装側定数または後で列追加","","","","","","",""
"countdown_explode","時限爆発","敵挙動ID","爆発","出現後または発見後","一定時間後に爆発し、周囲へ火属性ダメージを与える","3","explosion_small","area","none","none","none","fire,heavy","none","none","none","重複不可","未実装","爆弾ツチノコの敵時挙動","","","","","","",""
"chest_bite","宝箱噛みつき","敵挙動ID","奇襲","接近時","宝箱状態から近づいた対象に噛みつく","1.5","none","player","none","none","none","treasure","front","none","none","重複不可","未実装","ミミック用。初回だけ奇襲補正を入れてもよい","","","","","","",""
"spike_contact","トゲ接触","両方","近接・弾対策","接触時","トゲによる接触ダメージを与える。小型弾に触れた場合は破壊しやすい","0","none","player,ring_item","enemy,projectile","none","enemy:status_bleed_chance:25:3","spike,contact_damage","none","none","none","重複時は出血確率を加算しすぎない","未実装","トゲスライム用。敵時は純接触、捕獲後は弾消しも担当","","","","","","",""
"shoot_fire","火炎発射","両方","遠距離・属性","一定間隔","短射程の火炎を外側または対象方向へ吐く。糸・木・氷系に強い","2","fire_breath","player,projectile","enemy,projectile","none","none","fire","target_player","outward","none","重複時は発射頻度を上げすぎない","未実装","火吹きトカゲ用。火炎そのもののダメージは発射物側で管理","","","","","","",""
"enemy_heal","敵回復","敵挙動ID","支援","一定間隔","周囲の敵を少量回復する","5","none","enemy","none","enemy:heal:3:0","none","none","none","none","none","回復量は減衰","未実装","回復ナメクジの敵時挙動","","","","","","",""
"steal_item","アイテム盗み","敵挙動ID","報酬・妨害","接触時","落ちているアイテムや宝に近づき、拾って逃げる","0","none","item_drop","none","none","none","money,treasure","none","none","none","重複不可","未実装","金食いネズミの敵時挙動","","","","","","",""
"magic_body","魔法体","敵挙動ID","耐性・魔法","常時","物理攻撃をやや受け流し、魔法攻撃や魔法弾との相互作用を持つ","0","none","ring_item,projectile","none","none","none","magic","none","none","none","重複不可","未実装","ゴースト用。壁抜けは現時点では採用しない","","","","","","",""
"dig_move","採掘移動","敵挙動ID","採掘","移動時","地形に接触したとき、低頻度で地形を削りながら移動する","0","none","terrain","none","none","none","earth,heavy","none","none","dig","重複不可","未実装","採掘ムカデの敵時挙動","","","","","","",""
"throw_stone","石投げ","両方","遠距離","一定間隔","石弾を投げる。敵時はプレイヤー方向、捕獲後は軌道外側へ撃つ","2","stone_bullet","player","enemy","none","none","stone","target_player","outward","none","重複時は発射数ではなくクールダウン短縮を検討","未実装","石投げゴブリン用の基本遠距離挙動","","","","","","",""
"shoot_poison","毒吐き","両方","遠距離・状態異常","一定間隔","毒弾を吐く。命中時に毒を付与する","2.5","poison_spit","player","enemy","player:status_poison_chance:40:3","enemy:status_poison_chance:40:3","poison","target_player","outward","none","重複時は毒付与確率を上限管理","未実装","毒吐きカエル用。poisonタグは属性判定のみ","","","","","","",""
"radial_spike","全方位針","両方","弾幕","一定間隔","周囲に針弾をばら撒く。小型弾の相殺にも使える","3","cactus_needle","player,projectile","enemy,projectile","none","none","spike","none","none","stationary","重複時は発射本数上限あり","未実装","針サボテン用。敵時は固定砲台、捕獲後は軌道上から発射","","","","","","",""
"shoot_water","水弾発射","両方","遠距離・属性","一定間隔","水弾を撃つ。火弾や火属性対象に有利","2","water_shot","player,projectile","enemy,projectile","none","none","water","target_player","outward","none","重複時は消火判定を重複させない","未実装","水鉄砲クラゲ用。reflect_waterではなく挙動側で火弾対策","","","","","","",""
"wind_blow","逆風発生","敵挙動ID","妨害","一定間隔","風を発生させ、弾道や接近を少し乱す","3.5","wind_wave","player,projectile","none","player:knockback:1:0","none","wind","target_player","none","none","重複時は風力上限あり","未実装","逆風フクロウの敵時挙動。操作不能にはしない","","","","","","",""
"rust_touch","錆び接触","敵挙動ID","弱体","接触時","金属系対象を弱らせる。プレイヤー接触時は軽い弱体候補","0","none","ring_item,player","none","none","none","metal","none","none","none","重複時は効果時間更新","未実装","錆ナメクジの敵時挙動。金属対策はやりすぎ注意","","","","","","",""
"contact_slow","鈍足接触","捕獲後挙動ID","近接・状態異常","接触時","軌道上で敵に当たったとき、敵を少し鈍足にする","0","none","none","enemy","none","enemy:status_slow:0.85:1.5","contact_damage","none","none","orbit","効果時間は最大値採用","未実装","スライム捕獲後用","","","","","","",""
"jump_outward","外側跳ね","捕獲後挙動ID","近接","一定間隔","軌道半径の外側へ一時的に跳ねて、広い範囲へ接触判定を出す","2","none","none","enemy","none","none","contact_damage","none","outward","jump","重複時は跳ね距離を上げすぎない","未実装","化けキノコ捕獲後用","","","","","","",""
"outward_guard","外側ガード","捕獲後挙動ID","防御","常時","軌道上で常に円の外側を向き、その方向から来る攻撃を防ぐ","0","none","none","projectile,enemy","none","projectile:guard:1:0","shield,guard_contact,guard_projectile","none","outward","orbit","重複時はガード範囲上限あり","未実装","盾カブト捕獲後用。向き制御が重要","","","","","","",""
"magnet_pull","磁力吸引","捕獲後挙動ID","吸引・補助","常時","金属アイテム、金属弾、金属系敵をゆるく吸い寄せる","0","none","none","metal","none","none","metal","none","none","orbit","吸引力は上限あり","未実装","磁石コウモリ捕獲後用。吸引処理は挙動ID側で行う","","","","","","",""
"heavy_guard","重殻ガード","捕獲後挙動ID","防御・近接","接触時","重い殻で敵や物理弾を受け止める。攻撃速度は遅いが防御寄り","0","none","none","projectile,enemy","none","none","stone,heavy,guard_contact","none","none","orbit","重複不可","未実装","鉱石ガニ捕獲後用","","","","","","",""
"charge_explode","蓄積爆発","捕獲後挙動ID","爆発","接触回数蓄積","敵や壁に一定回数当たると爆発し、短時間休んで復帰する","4","explosion_small","none","enemy,terrain","none","none","fire,heavy","none","outward","orbit","爆発頻度は上限あり","未実装","爆弾ツチノコ捕獲後用","","","","","","",""
"reward_drop","報酬吐き出し","捕獲後挙動ID","報酬","接触時","敵や壁に当たったとき、低確率でコインや素材を落とす","0","none","none","enemy,terrain","none","enemy:coin_drop_chance:15:0","treasure,money","none","none","orbit","ドロップ抽選は上限あり","未実装","ミミック捕獲後用","","","","","","",""
"periodic_heal","定期回復","捕獲後挙動ID","回復","一定間隔","一定時間ごとにプレイヤーを少量回復する","8","none","none","player","none","player:heal:1:0","none","none","none","orbit","複数所持時は回復量減衰","未実装","回復ナメクジ捕獲後用。強すぎ注意","","","","","","",""
"steal_or_dig","盗み・採掘","捕獲後挙動ID","報酬・採掘","接触時","敵に当たると盗み、壁に当たると低確率でアイテムを掘り出す","0","none","none","enemy,terrain,item_drop","none","none","money,treasure,dig_tool","none","none","orbit","ドロップ量に上限あり","未実装","金食いネズミ捕獲後用","","","","","","",""
"magic_guard","魔法弾相殺","捕獲後挙動ID","防御・魔法","被弾時","魔法弾を相殺または低確率で反射する","0","none","none","projectile","none","projectile:reflect_magic_chance:40:0","magic","none","none","orbit","反射率は上限あり","未実装","ゴースト捕獲後用","","","","","","",""
"dig_contact","接触採掘","捕獲後挙動ID","採掘","接触時","壁や鉱石に当たったとき追加掘削判定を出す","0","none","none","terrain","none","none","dig_tool","none","none","orbit","掘削回数は上限あり","未実装","採掘ムカデ捕獲後用。terrain効果コード化は後回し","","","","","","",""
"wind_deflect","風逸らし","捕獲後挙動ID","防御・妨害","一定間隔","風を起こし、敵弾の進行方向を少し逸らす","3.5","wind_wave","none","projectile","none","none","wind","none","outward","orbit","風力は上限あり","未実装","逆風フクロウ捕獲後用。操作妨害に寄せない","","","","","","",""
"rust_debuff","錆び弱体","捕獲後挙動ID","弱体","接触時","敵に当たると防御力を下げる。金属系や硬い敵に有効","2.5","none","none","enemy","none","enemy:debuff_defense:0.8:4","metal","none","none","orbit","防御低下は最大値採用","未実装","錆ナメクジ捕獲後用","","","","","","",""
